Date,Open,High,Low,Close,Adj Close,Volume
2020-02-12,81.400002,81.550003,81.160004,81.529999,69.341042,578300
2020-02-13,81.239998,81.750000,81.129997,81.610001,69.409081,514600
2020-02-14,81.720001,81.989998,81.459999,81.709999,69.494125,633700
2020-02-18,81.360001,81.529999,81.000000,81.400002,69.230469,613600
2020-02-19,81.730003,81.730003,81.300003,81.519997,69.332535,491300
2020-02-20,81.410004,81.720001,81.230003,81.400002,69.230469,922000
2020-02-21,82.019997,82.739998,81.919998,82.620003,70.268089,1294200
2020-02-24,80.870003,81.709999,80.440002,81.410004,69.238968,1219100
2020-02-25,81.470001,81.470001,79.639999,79.790001,67.861176,1888600
2020-02-26,80.120003,80.440002,78.070000,78.089996,66.415329,1587800
2020-02-27,77.050003,77.239998,75.599998,75.989998,64.629288,3327800
2020-02-28,74.169998,75.040001,73.330002,74.470001,63.336529,3452000
2020-03-02,74.410004,76.809998,73.980003,76.739998,65.267143,2726400
2020-03-03,77.099998,77.529999,75.099998,75.199997,63.957397,2811400
2020-03-04,76.370003,76.720001,74.930000,75.610001,64.306084,2573800
2020-03-05,74.320000,74.720001,73.769997,74.309998,63.200455,2158700
2020-03-06,72.779999,73.500000,72.169998,72.690002,61.822643,3054300
2020-03-09,67.120003,69.250000,65.220001,65.410004,55.631027,2899600
2020-03-10,67.570000,67.989998,65.019997,67.279999,57.221447,2150300
2020-03-11,65.860001,66.209999,63.790001,63.910000,54.355282,3020700
2020-03-12,59.509998,59.509998,56.080002,57.180000,48.631428,2584100
2020-03-13,60.720001,65.050003,59.680000,64.720001,55.044178,2692100
2020-03-16,56.410000,61.720001,56.189999,59.889999,50.936279,1931600
2020-03-17,60.439999,65.199997,59.240002,62.430000,53.096539,2087500
2020-03-18,59.020000,59.849998,53.889999,55.930000,47.568310,2647800
2020-03-19,54.840000,56.880001,53.639999,56.630001,48.163654,1726700
2020-03-20,57.770000,58.970001,54.349998,54.509998,46.360600,2844400
2020-03-23,53.660000,54.270000,49.549999,49.610001,42.193161,3623900
2020-03-24,53.060001,56.419998,52.000000,56.360001,47.934021,3120800
2020-03-25,57.500000,62.709999,56.730000,59.680000,50.757675,3389000
2020-03-26,60.459999,63.520000,60.290001,61.459999,52.271553,2873100
2020-03-27,59.250000,60.509998,57.810001,58.980000,50.162323,2286700
2020-03-30,58.759998,59.959999,56.840000,59.840000,50.893749,1829500
2020-03-31,59.250000,62.119999,58.709999,61.549999,52.348106,1721400
2020-04-01,59.110001,59.730000,58.240002,58.500000,49.754086,1847200
2020-04-02,58.139999,60.779999,58.139999,58.990002,50.170826,1352000
2020-04-03,58.750000,59.290001,57.410000,57.970001,49.303322,1089900
2020-04-06,60.299999,61.029999,59.750000,60.779999,51.693218,1312800
2020-04-07,63.430000,64.250000,61.240002,61.250000,52.092960,1614400
2020-04-08,61.970001,62.689999,60.610001,62.400002,53.071026,1408200
2020-04-09,63.310001,64.209999,62.230000,63.110001,53.674877,1387400
2020-04-13,63.279999,63.290001,61.279999,62.139999,52.849892,1652100
2020-04-14,63.189999,63.509998,61.750000,62.639999,53.275146,1268300
2020-04-15,61.060001,61.520000,60.169998,60.560001,51.506115,1344700
2020-04-16,60.509998,60.919998,58.959999,58.970001,50.153828,1611600
2020-04-17,61.419998,62.439999,60.580002,62.330002,53.011494,1531100
2020-04-20,60.930000,62.599998,60.380001,61.360001,52.186504,1441100
2020-04-21,59.990002,60.910000,59.070000,59.119999,50.281387,2463400
2020-04-22,59.439999,59.580002,58.200001,58.430000,50.341705,1410300
2020-04-23,58.950001,59.459999,58.389999,58.419998,50.333088,1086700
2020-04-24,58.700001,58.959999,57.820000,58.880001,50.729420,962500
2020-04-27,59.880001,60.709999,58.970001,60.480000,52.107937,1093500
2020-04-28,61.799999,62.279999,61.080002,61.500000,52.986729,1304600
2020-04-29,62.689999,63.779999,62.599998,63.650002,54.839115,1623600
2020-04-30,62.419998,62.860001,61.419998,61.590000,53.064281,1340000
2020-05-01,60.430000,60.430000,59.599998,60.049999,51.737461,1301100
2020-05-04,59.529999,60.410000,59.119999,60.330002,51.978691,1156600
2020-05-05,61.259998,61.480000,60.060001,60.230000,51.892529,1022800
2020-05-06,60.820000,60.889999,59.500000,59.790001,51.513447,932100
